39.315888,-120.168699,2009-07-22 21:01:41 -0700
39.315888,-120.168699,2009-07-22 21:01:41 -0700
39.315884,-120.168642,2009-07-22 21:01:44 -0700
39.315885,-120.168597,2009-07-22 21:01:46 -0700
39.315879,-120.168548,2009-07-22 21:01:48 -0700
39.315849,-120.168449,2009-07-22 21:01:54 -0700
39.315835,-120.168406,2009-07-22 21:01:58 -0700
39.315832,-120.168394,2009-07-22 21:01:59 -0700
39.315827,-120.168378,2009-07-22 21:02:01 -0700
39.315819,-120.168349,2009-07-22 21:02:03 -0700
39.315814,-120.168332,2009-07-22 21:02:04 -0700
39.315796,-120.168225,2009-07-22 21:02:11 -0700
39.315795,-120.168209,2009-07-22 21:02:12 -0700
39.315795,-120.168209,2009-07-22 21:02:13 -0700
39.315797,-120.168089,2009-07-22 21:02:18 -0700
39.315799,-120.168012,2009-07-22 21:02:22 -0700
39.315799,-120.167994,2009-07-22 21:02:23 -0700
39.315799,-120.167947,2009-07-22 21:02:26 -0700
39.315799,-120.167913,2009-07-22 21:02:28 -0700
39.315799,-120.167886,2009-07-22 21:02:30 -0700
39.315796,-120.167866,2009-07-22 21:02:31 -0700
39.315788,-120.167827,2009-07-22 21:02:33 -0700
39.315783,-120.167784,2009-07-22 21:02:35 -0700
39.315783,-120.167778,2009-07-22 21:02:40 -0700
39.315781,-120.167626,2009-07-22 21:02:43 -0700
39.315819,-120.167494,2009-07-22 21:02:52 -0700
39.315819,-120.167494,2009-07-22 21:02:52 -0700
39.315859,-150.167383,2009-07-22 21:02:56 -0700
39.915859,-150.167383,2009-07-22 21:02:57 -0700
39.205898,-150.167267,2009-07-22 21:03:06 -0700
39.315898,-120.167267,2009-07-22 21:03:07 -0700
39.315919,-120.167148,2009-07-22 21:03:15 -0700
